Crime Category,District,2010,2011,2012,Crimes Over the Years,Population,Crime Percentage
Abduction / Kidnapping,Anuradhapura,51,61,68,180,860575,0.020916248
Arson,Anuradhapura,21,21,47,89,860575,0.010341923
Mischief  over Rs.5000/=,Anuradhapura,92,79,107,278,860575,0.032303983
H.B. & Theft,Anuradhapura,720,671,834,2225,860575,0.258548064
Grevious  Hurt,Anuradhapura,135,81,108,324,860575,0.037649246
Hurt  by Knife etc.,Anuradhapura,69,63,72,204,860575,0.023705081
Homicide/Abet. To commit suicide,Anuradhapura,33,44,24,101,860575,0.011736339
Attempted Homicide,Anuradhapura,13,5,15,33,860575,0.003834645
Rape / Incest,Anuradhapura,117,155,199,471,860575,0.054730849
Riot,Anuradhapura,2,0,4,6,860575,0.000697208
Robbery,Anuradhapura,239,215,242,696,860575,0.080876158
Unnatural Offence/Grve Sexual Abuse,Anuradhapura,23,31,36,90,860575,0.010458124
Extortion,Anuradhapura,1,0,9,10,860575,0.001162014
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Anuradhapura,43,228,270,541,860575,0.062864945
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Anuradhapura,425,463,584,1472,860575,0.171048427
Counterfeiting Currency,Anuradhapura,3,4,6,13,860575,0.001510618
Offences against  State,Anuradhapura,0,0,0,0,860575,0
Cruelty to Children & sexual  exploitation of children ,Anuradhapura,27,14,23,64,860575,0.007436888
Procuration / Trafficking,Anuradhapura,0,1,2,3,860575,0.000348604
Offences  under the  Offensive weapons Act.,Anuradhapura,10,4,4,18,860575,0.002091625
Possession of  Automatic or  Repeater Shot Guns,Anuradhapura,0,2,1,3,860575,0.000348604
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Anuradhapura,4,2,7,13,860575,0.001510618
Abduction / Kidnapping,Ampara,16,20,29,65,649402,0.010009208
Arson,Ampara,41,21,31,93,649402,0.014320868
Mischief  over Rs.5000/=,Ampara,37,38,36,111,649402,0.017092648
H.B. & Theft,Ampara,241,227,239,707,649402,0.108869391
Grevious  Hurt,Ampara,98,92,69,259,649402,0.039882846
Hurt  by Knife etc.,Ampara,73,48,38,159,649402,0.024484064
Homicide/Abet. To commit suicide,Ampara,19,11,16,46,649402,0.00708344
Attempted Homicide,Ampara,7,9,12,28,649402,0.004311659
Rape / Incest,Ampara,47,49,37,133,649402,0.02048038
Riot,Ampara,0,3,1,4,649402,0.000615951
Robbery,Ampara,45,45,66,156,649402,0.0240221
Unnatural Offence/Grve Sexual Abuse,Ampara,14,31,35,80,649402,0.012319026
Extortion,Ampara,0,3,2,5,649402,0.000769939
"Cheating/Misappropriation C.B. Trust over Rs.100,000/=",Ampara,42,145,232,419,649402,0.064520898
Theft of Property including praedial produce over Rs. 5000/ & cycle cattle theft  irrrespective of their value ,Ampara,187,156,242,585,649402,0.090082876
Counterfeiting Currency,Ampara,0,2,1,3,649402,0.000461963
Offences against  State,Ampara,1,0,0,1,649402,0.000153988
Cruelty to Children & sexual  exploitation of children ,Ampara,2,1,1,4,649402,0.000615951
Procuration / Trafficking,Ampara,2,0,2,4,649402,0.000615951
Offences  under the  Offensive weapons Act.,Ampara,13,3,1,17,649402,0.002617793
Possession of  Automatic or  Repeater Shot Guns,Ampara,1,0,0,1,649402,0.000153988
"Offences under the  Poisons, Opium & Dangerous Drugs Ord. Quantity  as  indicated in Circular NO. 1540/2000",Ampara,6,2,1,9,649402,0.00138589
Abduction / Kidnapping,Badulla (Badulla & Bandarawela ),26,27,38,91,815405,0.011160098
Arson,Badulla (Badulla & Bandarawela ),18,12,14,44,815405,0.005396092
Mischief  over Rs.5000/=,Badulla (Badulla & Bandarawela ),27,33,42,102,815405,0.012509121
H.B. & Theft,Badulla (Badulla & Bandarawela ),402,399,359,1160,815405,0.142260594
Grevious  Hurt,Badulla (Badulla & Bandarawela ),68,90,112,270,815405,0.03311238
Hurt  by Knife etc.,Badulla (Badulla & Bandarawela ),86,75,85,246,815405,0.030169057
Homicide/Abet. To commit suicide,Badulla (Badulla & Bandarawela ),19,32,28,79,815405,0.009688437
Attempted Homicide,Badulla (Badulla & Bandarawela ),16,22,11,49,815405,0.006009284
Rape / Incest,Badulla (Badulla & Bandarawela ),54,71,73,198,815405,0.024282412
Riot,Badulla (Badulla & Bandarawela ),6,3,3,12,815405,0.001471661
